,stockPrice
0,11.281601
1,17.081116
2,11.17603
3,10.568221
4,21.06804
5,14.4713
6,20.166882
7,18.822912
8,27.308243
9,20.138536
10,13.189329
11,22.498383
12,12.934193
13,14.136513
14,11.850314
15,13.380727
16,12.691341
17,13.169809
18,11.964742
19,22.137537
20,15.650456
21,16.196583
22,10.254885
23,18.375015
24,11.169352
25,11.339202
26,22.001274
27,17.260204
28,22.293024
29,11.562292
30,17.209003
31,18.674892
32,22.285416
33,21.995026
34,12.181944
35,21.664062
36,21.296562
37,12.273827
38,20.963331
39,20.073845
40,19.65175
41,21.311338
42,17.158306
43,12.906753
44,26.297398
45,12.123076
46,21.453566
47,22.134727
48,17.66036
49,20.17889
50,11.915454
51,11.816267
52,21.873013
53,26.022116
54,11.591303
55,26.148464
56,12.860981
57,25.32828
58,20.309553
59,20.092148
60,11.960961
61,16.212004
62,18.268663
63,18.551058
64,22.252697
65,22.269249
66,13.222196
67,18.736086
68,17.028149
69,18.277714
70,16.095682
71,14.801086
72,11.167335
73,12.191905
74,23.178593
75,11.963676
76,18.456533
77,11.97118
78,17.548145
79,21.348381
80,18.361996
81,18.528114
82,21.676807
83,24.020319
84,10.41934
85,11.627305
86,11.977696
87,11.608415
88,20.218515
89,16.744907
90,13.382199
91,12.070171
92,22.15143
93,13.570775
94,13.38025
95,15.901088
96,16.924677
97,22.162058
98,12.589217
99,20.835417
100,21.742224
101,18.989452
102,18.674194
103,10.324904
104,20.132717
105,20.150661
106,11.468731
107,10.443408
108,17.440775
109,16.233673
110,21.98621
111,12.172039
112,21.746319
113,22.245707
114,16.20625
115,21.898895
116,18.794548
117,14.947574
118,16.198284
119,17.391438
120,11.968199
121,18.724524
122,20.641804
123,19.14333
124,13.146196
125,12.363702
126,14.222734
127,13.6707115
128,13.122955
129,11.934584
130,11.243234
131,11.886168
132,20.825037
133,20.68693
134,10.660801
135,15.973613
136,21.63287
137,17.823696
138,15.225145
139,18.824814
140,20.654408
141,14.939073
142,12.493431
143,25.272917
144,16.044388
145,12.433651
146,17.3205
