,stockPrice
0,11.789211
1,16.680508
2,19.102655
3,15.361134
4,11.780276
5,11.896825
6,19.13162
7,20.097315
8,15.570676
9,11.54418
10,16.817207
11,17.546608
12,22.06634
13,21.770039
14,14.802323
15,12.177485
16,21.715256
17,19.264698
18,13.354448
19,11.664146
20,15.902414
21,10.21565
22,15.0187235
23,12.41006
24,27.16137
25,27.870474
26,20.010902
27,12.051827
28,11.757252
29,10.8637495
30,15.291283
31,26.55278
32,16.105793
33,18.916592
34,19.154203
35,12.850124
36,12.25629
37,10.133989
38,18.825129
39,20.490057
40,20.790398
41,17.456404
42,13.182615
43,10.142754
44,10.274059
45,21.886402
46,17.250553
47,11.700385
48,21.38624
49,19.21035
50,10.616471
51,13.054223
52,19.107676
53,18.82741
54,21.80209
55,15.604965
56,19.274706
57,21.935947
58,25.877636
59,13.235891
60,10.465922
61,20.285717
62,11.983593
63,10.300404
64,12.01212
65,18.835354
66,21.882841
67,25.886501
68,21.503632
69,26.415606
70,16.981014
71,19.013096
72,15.9801235
73,16.527128
74,17.2828
75,11.217374
76,11.058132
77,17.29815
78,11.575109
79,17.748577
80,11.115155
81,15.485557
82,18.79052
83,13.906105
84,13.241785
85,18.82686
86,22.184423
87,16.935946
88,15.22514
89,21.508465
90,14.429366
91,12.14976
92,22.379189
93,12.3601675
94,10.849581
95,12.552635
96,20.355753
97,10.30626
98,19.116976
99,15.910281
100,15.470244
101,16.993269
102,20.823278
103,21.486
104,12.8733225
105,10.2934065
106,22.361595
107,20.270409
108,10.623313
109,13.11294
110,10.288735
111,13.057752
112,26.687992
113,10.487379
114,12.437952
115,15.994407
116,17.262798
117,17.125027
118,15.016629
119,12.476296
120,12.26205
121,15.737465
122,13.19947
123,11.792905
124,16.82569
125,17.155716
126,16.969137
127,10.250888
128,10.368343
129,17.565813
130,11.91561
131,17.480326
132,16.21769
133,17.230757
134,25.272125
135,20.210762
136,17.683836
137,20.678804
138,21.496473
139,12.007681
140,18.696394
141,14.961362
142,15.302883
143,12.952549
144,22.182428
145,15.601774
146,21.275572
147,9.908803
148,12.002941
149,11.937966
150,17.219324
151,21.706154
152,10.321656
153,22.589823
154,14.344397
155,16.635777
156,17.384382
157,18.298067
158,23.301504
159,24.111313
160,21.70383
161,17.122316
162,20.659006
163,17.517563
164,16.97419
165,15.376332
166,10.233689
167,12.2401085
168,21.288446
169,16.838453
170,12.963434
171,10.169361
172,15.009941
173,12.483987
174,10.355695
175,20.185682
176,20.751284
177,20.777271
178,12.173827
179,24.669456
180,12.549238
181,14.657473
182,19.12035
183,11.915158
184,19.820463
185,12.800896
186,19.608042
187,15.886786
188,10.881476
189,18.731249
190,20.139425
191,14.520938
192,16.610477
193,15.5208645
194,15.061558
195,13.450354
196,18.830673
197,15.543327
198,16.004213
199,15.406741
200,18.565598
201,11.167735
202,19.684124
203,21.948421
204,13.032272
205,11.263646
206,12.117747
207,22.199816
208,12.242408
209,14.70252
210,15.568478
211,19.125172
212,22.146084
213,22.219414
214,15.283303
215,22.579697
216,19.029219
217,16.8022
218,27.540121
219,17.550478
220,21.897367
221,10.166029
222,25.869894
223,17.059721
224,17.125616
225,21.356985
226,26.249931
227,17.109127
228,21.256023
229,18.192364
230,10.521596
231,13.320246
232,11.576925
233,19.214172
234,11.751391
235,17.150211
236,10.614609
237,10.847762
238,18.953249
239,13.255997
240,13.317986
241,21.384548
242,18.835728
243,11.817436
244,12.193128
245,12.386173
246,14.002591
247,11.847166
248,20.50204
249,11.938264
250,10.435895
251,10.329561
252,11.912849
253,11.200272
254,12.872985
255,26.13727
256,11.873986
257,14.598901
258,16.596167
259,16.683506
260,12.999105
261,21.959126
262,21.49353
263,10.471074
264,15.97335
265,21.451057
266,16.986742
267,11.266008
268,12.1305
269,18.787289
270,17.277538
271,16.184254
272,11.814457
273,21.95135
274,20.682163
275,17.52053
276,19.021793
277,19.27846
278,19.381035
279,13.427688
280,18.566004
281,24.052706
282,17.064129
283,13.170821
284,17.295238
285,13.257603
286,15.940469
287,11.431272
288,18.839888
289,19.987328
290,19.209717
291,21.907486
292,15.267063
293,17.118206
294,11.978476
295,14.203657
296,15.877302
297,11.582495
298,20.519354
299,21.365644
300,21.90307
301,10.233419
302,14.790856
303,23.17601
304,12.782604
305,17.864973
306,17.068785
307,10.119876
308,15.253624
309,20.811676
310,17.36647
311,11.3766775
312,13.480643
313,21.37841
314,19.506168
315,11.260754
316,21.750837
317,10.612624
318,11.625057
319,16.994787
320,11.278756
321,20.060652
322,12.1168995
323,21.78499
324,22.04196
325,15.020056
326,20.988068
327,22.194246
328,11.912609
329,15.077799
330,11.123135
331,15.399089
332,24.515514
333,21.483835
334,11.770541
335,20.796051
336,19.24565
337,12.126576
338,22.555347
339,14.9896965
340,11.167331
341,16.04004
342,10.468256
343,21.378643
344,11.535163
345,17.4556
346,12.421641
347,15.517764
348,18.914768
349,19.282728
350,17.437456
351,22.486984
352,13.149738
353,22.373375
354,20.761831
355,15.289574
356,17.232023
357,11.292533
358,11.575934
359,12.254637
360,17.885506
361,17.103193
362,10.706199
363,14.704839
364,16.093359
365,16.999203
366,22.113008
367,11.927035
368,17.694605
369,21.375116
370,19.315079
371,10.449894
372,18.870186
373,12.700468
374,17.458252
375,14.286284
376,18.400618
377,17.39964
378,11.622827
379,19.044203
380,14.234138
381,11.816641
382,12.826447
383,21.516348
384,17.565983
385,19.107164
386,17.402145
387,27.321276
388,10.235867
389,11.920245
390,10.652947
391,18.833832
392,18.58483
393,17.0614
394,17.66563
395,19.278435
396,20.716219
397,14.608467
398,17.063782
399,11.5927105
400,24.069979
401,20.799128
402,16.71933
403,11.370315
404,16.062754
405,28.536001
406,11.158784
407,27.354116
408,21.770287
409,11.520248
410,10.311653
411,12.263801
412,12.995271
413,12.804567
414,17.39722
415,11.880208
416,11.49492
417,16.7862
418,18.656904
419,15.541702
420,21.69121
421,18.527714
422,13.71984
423,16.480206
424,13.400135
425,12.183943
426,16.45682
427,22.024136
428,21.447886
429,16.040356
430,14.924665
431,10.1284
432,14.70551
433,22.067844
434,26.272602
435,12.168031
436,17.151167
437,22.16803
438,10.250758
439,16.422909
440,10.1861315
441,14.546977
442,11.1727915
443,11.69018
444,12.915647
445,13.0081005
446,19.491003
447,15.199351
448,18.581978
449,12.034102
450,17.880396
451,14.747111
452,10.4896965
453,12.12283
454,10.846934
455,11.604389
456,10.288328
457,20.787542
458,21.387142
459,17.454947
460,23.45843
461,18.575512
462,13.20571
463,15.522817
464,21.92304
465,16.699478
466,21.933943
467,21.194588
468,11.517044
469,16.857067
470,15.39278
471,10.177078
472,22.16419
473,12.015494
474,19.56703
475,18.92509
476,25.261759
477,16.761005
478,11.113196
479,19.890305
480,16.50976
481,10.307742
482,17.208118
483,18.656494
484,12.174229
485,11.611405
486,22.34138
487,11.246594
488,20.255993
489,16.126976
490,16.976208
491,17.48597
492,22.174929
493,11.40601
494,16.623835
495,14.52574
496,21.870443
497,15.635887
498,11.794742
499,19.07457
500,12.032526
501,23.257223
502,13.23398
503,20.710135
504,21.363035
505,17.264322
506,10.3585415
507,16.572498
508,21.273071
509,11.377971
510,20.746489
511,21.505955
512,13.107241
513,19.139961
514,21.060495
515,22.30761
516,11.241663
517,11.589535
518,12.116613
519,14.698544
520,20.14496
521,12.231882
522,10.230298
523,18.896513
524,11.659752
525,24.660278
526,19.170212
527,22.161499
528,19.21357
529,17.745527
530,12.59314
531,11.371163
532,11.572172
533,13.242666
534,22.772827
535,25.742607
536,20.803802
537,22.04648
538,14.326676
539,12.869086
540,20.486048
541,20.80775
542,11.454843
543,11.925644
544,15.845202
545,13.348462
546,17.692072
547,22.383137
548,12.09519
549,18.651491
550,21.924183
551,11.605754
552,18.00533
553,17.208426
554,14.018311
555,16.70706
556,17.526375
557,11.459488
558,22.02678
559,14.791238
560,17.14085
561,21.07123
562,12.420523
563,10.325716
564,20.685482
565,19.06043
566,22.15421
567,14.788441
568,20.735844
569,12.77989
570,18.803629
571,20.51456
572,16.99237
573,20.314335
574,20.690964
575,17.662449
576,15.241095
577,21.495632
578,18.277245
579,20.06827
580,12.015983
581,17.338709
582,20.419933
583,14.677732
584,14.439809
585,18.254885
586,11.597139
587,21.74196
588,15.561937
589,17.290894
590,22.473785
591,10.211437
592,11.9145565
593,16.051233
594,21.602455
595,12.162267
596,11.358738
597,11.847224
598,18.888603
599,20.91277
600,16.01016
601,11.724911
602,15.920771
603,18.559353
604,17.083256
605,17.124565
606,21.808645
607,19.159477
608,11.752238
609,19.114069
610,14.594899
611,22.16863
612,14.629706
613,10.242381
614,22.495275
615,12.922809
616,18.718756
617,17.741642
618,11.189101
619,21.437061
620,10.6380005
621,22.52643
622,19.574244
623,11.39161
624,18.937468
625,14.992659
626,11.792371
627,20.143644
628,21.054695
629,17.469992
630,12.586977
631,17.761917
632,22.372063
633,15.683892
634,10.237017
635,13.159974
636,12.175738
637,10.306557
638,19.861532
639,22.2045
640,13.003557
641,10.302789
642,17.283852
643,14.544094
644,19.010626
645,15.852875
646,14.308732
647,12.778462
648,24.498354
649,16.006607
650,19.123943
651,16.982588
652,17.307957
653,18.657717
654,10.2080145
655,25.880108
656,15.586567
657,15.107116
658,21.973219
659,11.893174
660,11.670845
661,18.830725
662,21.913172
663,14.552936
664,14.667287
665,15.571512
666,13.313492
667,17.64265
668,11.1216135
669,18.856718
670,13.276414
671,13.432057
672,21.048424
673,11.017937
674,21.350958
675,21.943672
676,18.811195
677,20.206635
678,18.82355
679,11.273908
680,16.982498
681,25.274738
682,10.109738
683,15.03895
684,12.240659
685,17.057243
686,16.548626
687,11.313219
688,11.529017
689,11.776819
690,11.167727
691,14.491374
692,22.21848
693,16.02728
694,11.442125
695,19.132463
696,16.493837
697,17.036541
698,19.022575
699,11.857054
