,stockPrice
0,20.427496
1,15.2022295
2,10.245997
3,17.453463
4,17.244183
5,11.312374
6,19.219912
7,14.514759
8,12.6350975
9,18.9123
10,11.391999
11,20.778671
12,21.91514
13,22.06053
14,22.036749
15,11.52666
16,11.943329
17,15.132251
18,11.153945
19,11.9256525
20,10.292741
21,22.609379
22,17.517834
23,21.280704
24,18.609167
25,10.629251
26,13.251199
27,22.604893
28,20.093513
29,22.241821
30,17.815613
31,11.756854
32,20.48572
33,21.88797
34,12.5557785
35,22.602411
36,16.720798
37,21.608212
38,22.590685
39,12.837021
40,20.81869
41,12.235433
42,10.701743
43,15.415193
44,10.536652
45,11.800047
46,12.07848
47,22.261982
48,15.870535
49,21.925854
50,16.85067
51,11.175185
52,11.365234
53,17.092476
54,16.132132
55,16.201107
56,14.504895
57,17.459236
58,18.87231
59,20.949318
60,21.944244
61,12.145763
62,22.685843
63,19.64271
64,20.851295
65,11.979745
66,14.492984
67,18.43469
68,18.791534
69,22.398418
70,21.911182
71,27.370592
72,10.114056
73,20.810833
74,15.650489
75,22.255058
76,19.351627
77,11.579342
78,20.836973
79,11.191919
80,11.183829
81,11.258187
82,16.477257
83,20.169626
84,10.441347
85,21.950651
86,22.295628
87,20.219955
88,22.522776
89,11.355773
90,27.821512
91,13.117832
92,21.289162
93,14.3721695
94,24.143688
95,21.88421
96,21.563675
97,17.318697
98,18.193989
99,10.140406
100,16.548542
101,10.44262
102,15.162959
103,15.498832
104,12.589011
105,15.786037
106,19.932438
107,17.43987
108,12.793223
109,17.88188
110,16.900396
111,16.987446
112,11.983079
113,10.494071
114,21.775406
115,15.811286
116,11.861408
117,15.311963
118,20.713192
119,16.708664
120,14.644001
121,12.439985
122,22.026207
123,13.01779
124,15.383864
125,12.250044
126,19.145075
127,18.435259
128,14.363902
129,14.436009
130,11.294519
131,20.8759
132,21.726213
133,10.214324
134,19.114334
135,20.754381
136,18.731003
137,18.267723
138,11.655079
139,20.692791
140,11.749811
141,12.686321
142,15.344362
143,21.61688
144,17.52614
145,22.053936
146,21.251415
147,12.244692
148,12.291072
149,27.205227
150,15.317847
151,22.564152
152,21.397436
153,20.08088
154,17.243048
155,10.217171
156,21.184555
157,13.583114
158,19.336973
159,20.13258
160,20.2734
161,11.555383
162,17.86888
163,20.308815
164,12.927243
165,17.436644
166,11.128388
167,11.19458
168,12.022207
169,21.987715
170,17.732
171,22.02599
172,14.752723
173,11.327254
174,19.254286
175,11.603535
176,16.94943
177,18.994528
178,21.955559
179,18.423588
180,15.4940195
181,11.836615
182,12.72006
183,11.961477
184,16.568985
185,17.131945
186,11.984051
187,20.2261
188,11.781167
189,13.022739
190,11.227979
191,21.800142
192,12.057466
193,11.516327
194,12.835382
195,15.781971
196,21.796106
197,20.313158
198,17.712805
199,17.07054
200,18.60007
201,22.185644
202,13.150608
203,18.442299
204,17.992441
205,22.319695
206,11.521893
207,10.239218
208,10.390882
209,14.496464
210,15.673488
211,10.473661
212,11.907152
213,13.114031
214,11.644386
215,24.556496
216,21.658873
217,19.931244
218,19.313534
219,13.146379
220,21.96194
221,19.471565
222,21.922674
223,21.924385
224,13.023443
225,10.766762
226,17.164711
227,18.60312
228,10.449493
229,11.001657
230,11.308113
231,19.197239
232,14.631861
233,20.883593
234,14.399921
235,15.360969
236,19.074251
237,19.98245
238,10.632287
239,21.377754
240,12.999424
241,17.51655
242,12.900537
243,11.178694
244,11.437356
245,22.21093
246,12.474927
247,13.049454
248,15.515068
249,12.037065
250,15.790546
251,18.923796
252,17.43709
253,15.407852
254,16.15317
255,20.842756
256,12.388465
257,19.874866
258,17.327976
259,16.646929
260,21.804157
261,16.792593
262,14.842913
263,11.082149
264,15.803055
265,20.417183
266,16.39063
267,15.460153
268,11.745759
269,13.115397
270,11.56825
271,18.3227
272,11.641054
273,14.425767
274,20.745552
275,22.86377
276,12.882251
277,12.276865
278,10.639639
