,stockPrice
0,10.143204
1,22.133884
2,14.24381
3,17.32343
4,11.937175
5,11.587871
6,11.062555
7,25.552504
8,19.477089
9,11.814386
10,20.622356
11,18.555012
12,11.916108
13,14.479104
14,12.946901
15,19.934296
16,21.48511
17,21.876982
18,10.9469185
19,13.981319
20,11.511591
21,25.26801
22,12.433599
23,16.129286
24,12.5391445
25,13.022649
26,11.981921
27,16.800241
28,10.653519
29,17.706287
30,10.483639
31,17.438745
32,12.166939
33,17.714815
34,17.282894
35,17.299248
36,14.818138
37,16.986942
38,11.248369
39,22.37564
40,14.633665
41,14.633706
42,15.593851
43,13.148041
44,11.857427
45,12.884102
46,11.590346
47,16.201622
48,11.575924
49,12.22394
50,11.591351
51,15.621827
52,17.653084
53,13.070203
54,25.695211
55,10.408565
56,12.164556
57,26.628145
58,11.6118555
59,15.624312
60,10.348657
61,17.33107
62,17.320652
63,15.56383
64,18.968752
65,11.008809
66,18.983572
67,18.511278
68,10.366072
69,23.602951
70,21.739344
71,12.818613
72,17.439823
73,17.877596
74,11.643595
75,22.795303
76,15.302651
77,15.144184
78,16.944191
79,11.237493
80,25.779398
81,11.0812025
82,15.405885
83,16.652018
84,12.988094
85,16.723135
86,26.552593
87,12.958767
88,25.497414
89,19.184057
90,15.938578
91,22.149387
92,27.969406
93,15.116505
94,13.709815
95,15.736318
96,16.92299
97,11.555226
98,16.226824
99,11.813285
100,22.16273
101,19.117771
102,13.012764
103,20.70964
104,13.208689
105,17.996641
106,21.837341
107,11.982123
108,18.383436
109,17.852844
110,12.374147
111,18.238104
112,11.58713
113,11.201408
114,10.525843
115,19.141851
116,15.868591
117,20.219553
118,14.731097
119,20.948618
120,15.942642
121,22.158737
122,15.69553
123,16.735289
124,15.18437
125,17.88365
126,10.440687
127,12.2713
128,10.8667
129,12.22398
130,11.015768
131,17.138126
132,12.155901
133,25.856277
134,13.256272
135,10.198515
136,10.539675
137,18.666857
138,11.794195
139,22.009214
140,18.736649
141,15.571435
142,11.788004
143,19.063435
144,12.4286995
145,19.611412
146,12.446182
147,16.470308
148,15.574719
149,16.702467
150,14.655075
151,22.163715
152,17.124964
153,18.670168
154,18.636312
155,22.409286
156,19.276217
157,22.32843
158,13.175062
159,11.675034
160,12.232499
161,14.686163
162,15.039778
163,19.144997
164,19.003765
165,12.820922
166,12.430974
167,13.312378
168,19.05952
169,17.643715
170,16.343767
171,20.949045
172,11.144743
173,20.661856
174,25.271917
175,20.237537
176,14.600096
177,18.463232
178,20.110552
179,16.524752
180,26.289526
181,11.205884
182,12.555325
183,17.16956
184,12.565375
185,18.520306
186,11.319078
187,12.123559
188,21.41381
189,10.331257
190,14.343019
191,22.35282
192,11.612495
193,15.538272
194,11.888752
195,18.716633
196,18.472443
197,21.778206
198,17.503948
199,10.320355
200,12.180284
201,12.438798
202,15.920787
203,15.2384815
204,20.033321
205,21.300114
206,23.158161
207,17.019299
208,18.461906
209,21.983332
210,27.34061
211,12.235867
212,11.765873
213,18.433157
214,16.753416
215,12.32296
216,11.455238
217,19.8508
218,14.027218
219,11.728758
220,12.055997
221,18.599031
222,22.418634
223,15.528771
224,14.408018
225,11.910569
226,17.61008
227,14.965673
228,10.572137
229,22.33059
230,11.946315
231,11.081795
232,18.6686
233,15.991106
234,17.195433
235,16.131561
236,10.708729
237,15.562194
238,17.423073
239,17.184134
240,18.502728
241,22.129595
242,20.710928
243,25.670292
244,21.703314
245,12.048491
246,16.776222
247,10.268765
248,22.23364
249,15.716505
250,11.779077
251,11.529174
252,25.273926
253,21.744534
254,17.270187
255,18.045744
256,10.694473
257,20.61779
258,11.844179
259,11.456044
260,19.005636
261,21.530718
262,17.80237
263,22.100136
264,10.246481
265,15.94453
266,14.736779
267,20.640472
268,11.919434
269,21.990534
270,14.615254
271,13.10352
272,13.067049
273,12.18863
274,12.551432
275,16.50913
276,21.670084
277,10.887862
278,10.181799
279,15.0404415
280,21.776623
281,18.716557
282,15.870592
283,11.837062
284,13.343035
285,11.697554
286,13.161716
287,15.07536
288,16.201979
289,20.744783
290,11.19476
291,14.257528
292,12.073261
293,18.420547
294,15.177092
295,11.103293
296,20.333067
297,21.770342
298,10.16842
299,20.681307
300,11.553429
301,13.57562
302,25.264282
303,19.746567
304,22.159773
305,22.380142
306,18.616978
307,11.872164
308,10.667059
309,14.570356
310,12.91693
311,26.136658
312,11.911207
313,17.069424
314,12.935723
315,22.208603
316,17.769934
317,11.364207
318,21.886484
319,23.69998
320,22.287823
321,22.299479
322,15.028117
323,20.156252
324,17.741095
325,10.2747755
326,10.772139
327,22.168634
328,20.042267
329,16.051867
330,21.346798
331,16.16924
332,11.114664
333,13.163078
334,11.336112
335,18.992977
336,15.529635
337,10.617888
338,16.76614
339,18.3627
340,21.628435
341,18.041714
342,11.011789
343,11.909798
344,15.093055
345,13.460824
346,13.060834
347,15.569634
348,17.244678
349,19.199821
350,21.86035
351,17.773035
352,11.168394
353,19.124397
354,10.671033
355,12.988227
356,16.796476
357,11.389961
358,20.293472
359,10.551995
360,20.412615
361,11.157552
362,13.113642
363,25.877628
364,15.456282
365,17.143633
366,20.254438
367,12.037058
368,11.247675
369,22.218315
370,13.118164
371,21.615479
372,23.906672
373,16.71545
374,16.967434
375,16.022718
376,20.28457
377,21.837019
378,21.851381
379,16.822386
380,21.736237
381,14.4572315
382,19.084053
383,14.651309
384,15.73267
385,19.829681
386,13.029474
387,20.924782
388,18.566736
389,11.914666
390,22.168617
391,21.902493
392,19.268988
393,20.196947
394,9.961018
395,17.994635
396,16.930805
397,11.227259
398,19.157959
399,17.790905
400,19.661745
401,16.498093
402,22.017326
403,20.061686
404,10.234028
405,16.028505
406,17.196438
407,11.878884
408,10.560358
409,11.092211
410,11.916457
411,16.993908
412,19.043495
413,15.554997
414,17.26419
415,21.4045
416,14.54037
417,21.840155
418,22.513544
419,12.471814
420,20.278141
421,13.14816
422,26.261034
423,24.079466
424,20.737326
425,17.16295
426,10.439942
427,15.881412
428,10.692644
429,14.445706
430,18.257988
431,20.071384
432,13.004528
433,15.72226
434,11.760018
435,15.882445
436,11.538504
437,18.264824
438,12.9621
439,13.5037565
440,14.755973
441,12.958566
442,10.47503
443,18.6403
444,14.535417
445,22.196363
446,27.839155
447,15.502834
448,11.971946
449,23.971771
450,11.754918
451,18.978508
452,17.699982
453,10.329307
454,21.679747
455,18.711668
456,11.333081
457,19.288345
458,22.025148
459,13.240302
460,16.206541
461,20.656237
462,22.159958
463,13.131755
464,21.676382
465,10.473015
466,12.168549
467,17.055412
468,25.263418
469,11.235005
470,22.162838
471,23.677086
472,17.424095
473,12.016985
474,16.223188
475,18.990854
476,12.226415
477,22.304832
478,15.657397
479,11.3750925
480,17.910612
481,10.173949
482,17.27811
483,18.208828
484,19.655733
485,15.419932
486,11.461891
487,21.264431
488,14.709544
489,13.365352
490,11.902856
491,11.699711
492,9.870627
493,13.1252775
494,20.138176
495,12.54239
496,15.552934
497,13.43316
498,14.232612
499,21.0541
500,14.73227
501,11.44077
502,12.94773
503,18.97263
504,15.943335
505,10.464798
506,12.064637
507,17.762653
508,13.076048
509,17.378311
510,11.689216
511,13.982371
512,12.548822
513,15.535345
514,14.541907
515,21.028406
516,21.977226
517,11.763363
518,20.243372
519,15.872515
520,10.474923
521,11.469845
522,17.68763
523,10.72067
524,17.133251
525,17.004976
526,14.821826
527,17.746223
528,12.320982
529,20.659296
530,11.936259
531,15.870648
532,11.462912
533,11.927095
534,21.887486
535,21.524345
536,11.172016
537,15.827278
538,10.317336
539,18.759468
540,17.885363
541,12.989135
542,18.8962
543,20.727896
544,19.346594
545,10.243592
546,21.038773
547,11.665659
548,12.26748
549,11.221729
550,15.588983
551,17.141027
552,16.728352
553,12.035134
554,21.860926
555,17.994043
556,17.52363
557,18.551783
558,15.249463
559,10.87131
560,19.548006
561,11.315037
562,26.248873
563,16.896248
564,10.685632
565,10.789475
566,11.837329
567,14.69554
568,17.162506
569,20.891266
570,20.752235
571,17.430569
572,15.326919
573,16.216719
574,16.548353
575,16.983639
576,21.807821
577,17.229284
578,13.02378
579,10.377504
580,10.665083
581,17.34063
582,14.854338
583,10.285894
584,15.488457
585,10.394144
586,19.76384
587,12.4328
588,10.46407
589,15.016429
590,12.818707
591,11.601093
592,17.176888
593,13.013938
594,17.224787
595,15.609945
596,11.449834
597,17.32984
598,15.533645
599,22.68501
600,25.564611
601,21.441044
602,17.612822
603,22.163122
604,11.858185
605,13.502819
606,12.918441
607,15.836853
608,14.67295
609,11.215154
610,13.161149
611,20.125181
612,18.617373
613,17.285751
614,17.200953
615,21.409403
616,19.021532
617,21.925392
618,13.045838
619,12.511273
620,10.33673
621,22.127417
622,10.456609
623,12.116193
624,15.594487
625,17.236574
626,12.340254
627,13.642227
628,12.184417
629,11.228292
630,15.404614
631,14.244542
632,20.723114
633,21.084633
634,12.626966
635,15.926949
636,11.3001995
637,11.93077
638,13.220591
639,18.64757
640,14.27888
641,15.802557
642,14.760685
643,18.421633
644,21.755661
645,21.872473
646,21.587626
647,11.261911
648,17.47279
649,20.10163
650,10.590278
651,10.997055
652,11.954718
653,14.929816
654,12.035845
655,15.052752
656,11.90473
657,20.260674
658,18.871841
659,13.103016
660,11.83184
661,21.829073
662,12.529956
663,18.590471
664,13.474928
665,17.604843
666,11.93608
667,19.629059
668,10.271638
669,11.398812
670,22.13849
671,18.423958
672,15.573062
673,21.010015
674,11.821614
675,13.291242
676,21.478525
677,18.728483
678,12.1619625
679,26.112804
680,16.095533
681,18.986654
682,21.685858
683,10.230384
684,27.10575
685,21.797823
686,15.67547
687,21.81968
688,17.050762
689,20.33521
690,17.238869
691,17.174028
692,17.01965
693,11.899628
694,11.494685
695,22.525108
696,20.653927
