,stockPrice
0,18.095472
1,20.205664
2,11.90489
3,17.521477
4,17.664967
5,11.940056
6,14.677094
7,10.652419
8,18.00366
9,14.748213
10,24.464281
11,11.349285
12,17.23651
13,25.270138
14,12.962869
15,15.6582775
16,27.42994
17,11.701945
18,12.73709
19,27.493319
20,24.581331
21,10.321174
22,11.84155
23,11.214455
24,26.015434
25,10.40493
26,14.330394
27,15.79231
28,15.235275
29,17.758667
30,19.17064
31,19.716679
32,11.527978
33,22.119171
34,21.992817
35,11.943204
36,18.666307
37,11.874636
38,12.895863
39,21.327692
40,18.421438
41,11.741481
42,12.456528
43,14.077794
44,10.36526
45,21.633644
46,12.965913
47,21.563107
48,15.861948
49,11.899875
50,15.628897
51,11.823475
52,17.513454
53,18.540075
54,17.482325
55,14.67121
56,11.346181
57,15.587811
58,20.243807
59,16.734236
60,13.195842
61,14.684617
62,20.21193
63,20.21504
64,16.079603
65,16.803106
66,17.445147
67,17.129267
68,12.434033
69,24.61215
70,16.781713
71,16.41805
72,16.136036
73,20.764791
74,12.042931
75,20.655987
76,11.328296
77,19.242563
78,18.550262
79,18.239397
80,26.101402
81,11.869599
82,17.444897
83,10.131028
84,12.812409
85,11.228564
86,23.567366
87,21.380283
88,15.276938
89,17.073841
90,11.442932
91,17.776546
92,11.599447
93,20.296976
94,20.917545
95,16.676342
96,14.381869
97,16.614153
98,22.259161
99,26.229523
100,12.520006
101,13.612107
102,15.65893
103,16.220268
104,20.743471
105,15.890558
106,18.659727
107,21.348299
108,18.484753
109,17.67525
110,21.238104
111,21.954971
112,15.605643
113,11.920367
114,11.180572
115,17.719316
116,19.215296
117,17.43887
118,12.496904
119,19.213406
120,21.367594
121,17.284052
122,18.541853
123,16.219759
124,10.491745
125,13.963506
126,12.513574
127,12.941796
128,21.22378
129,21.952188
130,21.370226
131,13.596411
132,15.944434
133,15.941029
134,14.799709
135,19.900389
136,17.295757
137,26.471367
138,15.7630415
139,17.254051
140,22.235767
141,19.842567
142,13.189493
143,14.838422
144,11.838818
145,12.994534
146,12.606056
147,13.013101
148,12.204961
149,25.693285
150,13.371669
151,19.181171
152,17.447395
153,16.112886
154,23.05823
155,22.69705
156,20.96561
157,20.54015
158,11.824972
159,20.127224
160,12.282819
161,16.238503
162,15.902248
163,16.12292
164,26.020908
165,17.45097
166,16.680578
167,22.197128
168,12.20907
169,21.45233
170,18.040258
171,16.924871
172,14.461406
173,13.409184
174,15.659014
175,15.452236
176,16.928614
177,17.083313
178,17.318707
179,11.8799715
180,20.872087
181,14.976945
182,18.978407
183,11.932273
184,17.014015
185,10.194669
186,26.123655
187,20.217207
188,14.453613
189,15.949773
190,11.696944
191,20.81812
192,15.24082
193,21.484983
194,17.296305
195,14.62019
196,17.512953
197,11.001442
198,17.069351
199,14.732322
200,13.399379
201,18.460762
202,11.697139
203,15.248435
204,19.725721
205,11.522141
206,14.718548
207,19.04184
208,15.503109
209,17.270107
210,20.502508
211,18.543911
212,10.566299
213,17.319216
214,13.237716
215,17.061821
216,12.278246
217,15.548443
218,23.987637
219,17.26076
220,13.22474
221,16.22873
222,19.627583
223,22.359165
224,14.18452
225,14.640961
226,22.470528
227,11.841008
228,16.841837
229,19.23805
230,11.844686
231,10.638306
232,13.3703575
233,16.868689
234,18.037876
235,17.551254
236,19.223461
237,14.915771
238,12.169873
239,21.757359
240,19.177614
241,15.819282
242,27.279095
243,20.051601
244,17.39233
245,12.500651
246,18.593367
247,17.994429
248,11.457511
249,20.636845
250,19.755928
251,10.215271
252,16.101362
253,11.542549
254,12.152273
255,14.501101
256,11.843936
257,10.513062
258,17.318548
259,11.984763
260,18.64266
261,27.476463
262,16.050442
263,14.131461
264,11.287856
265,20.23324
266,20.3367
267,11.57753
268,10.65422
269,18.55061
270,11.880707
271,12.185733
272,12.120747
273,17.526773
274,20.131767
275,16.02026
276,13.042437
277,12.9941
278,10.692798
279,15.289356
280,17.271215
281,13.033323
282,17.482439
283,26.545727
284,11.83448
285,11.942051
286,14.683044
287,10.619908
288,26.084015
289,16.513811
290,20.665586
291,27.306845
292,19.093256
293,17.001703
294,21.786459
295,16.943756
296,17.318506
297,16.048288
298,14.826461
299,20.097193
300,11.215282
301,20.284637
302,19.26789
303,20.730455
304,22.16812
305,20.921019
306,18.267336
307,14.555341
308,12.5732355
309,23.361212
310,14.564899
311,16.296755
312,11.922973
313,17.637075
314,18.657473
315,13.18189
316,20.546131
317,22.127289
318,16.651268
319,16.902735
320,18.271976
321,22.246668
322,21.934631
323,26.292805
324,14.628046
325,14.673692
326,11.862694
327,10.787992
328,15.937674
329,12.270782
330,23.603971
331,15.986473
332,12.282783
333,19.04207
334,15.591073
335,12.5571785
336,10.483208
337,23.98264
338,10.673063
339,17.542114
340,19.687283
341,21.127605
342,15.923305
343,14.582182
344,12.274622
345,16.927074
346,22.479832
347,11.081761
348,15.618339
349,15.647437
350,10.894644
351,11.91444
352,20.280416
353,20.558311
354,13.109747
355,15.815531
356,10.50225
357,12.99444
358,11.333899
359,16.2152
360,13.1375885
361,15.719368
362,22.101097
363,21.233118
364,20.363663
365,10.828415
366,27.10812
367,17.540733
368,21.680294
369,14.907497
370,17.20424
371,20.155642
372,17.596153
373,15.036937
374,21.660667
375,17.483809
376,20.092232
377,13.411149
378,22.457188
379,12.19572
380,18.556992
381,14.949182
382,13.597948
383,21.058796
384,12.368821
385,17.092417
386,11.167427
387,15.633405
388,19.525827
389,11.499644
390,20.543833
391,11.790904
392,13.173048
393,20.93247
394,14.751006
395,17.179249
396,20.401363
397,13.2312
398,17.772821
399,18.82228
400,20.879467
401,10.581731
402,16.902845
403,24.022137
404,14.085431
405,11.452212
406,20.618185
407,17.854042
408,17.458437
409,10.660462
410,13.373858
411,18.600153
412,10.026155
413,15.907144
414,11.283475
415,18.721706
416,15.990424
417,12.826751
418,12.279118
419,22.494436
420,20.406172
421,25.72362
422,12.270145
423,11.797922
424,10.309624
425,17.80136
426,13.355126
427,15.569302
428,18.570402
429,10.357253
430,19.227959
431,15.6044
432,18.98977
433,21.746525
434,19.358292
435,12.261604
436,10.250463
437,10.202508
438,22.481548
439,20.766455
440,15.174898
441,18.42014
442,11.77415
443,17.292732
444,11.99279
445,27.054962
446,10.438872
447,17.329992
448,11.449162
449,16.67402
450,17.216864
451,17.643167
452,26.30581
453,19.441835
454,13.185863
455,17.304981
456,10.162636
457,19.176523
458,17.290218
459,21.977953
460,17.526281
461,16.56006
462,15.788589
463,17.318913
464,18.62171
465,18.707186
466,10.63584
467,22.309095
468,21.985117
469,13.13487
470,18.557617
471,15.013256
472,14.125048
473,21.736588
474,11.920593
475,17.873375
476,11.346823
477,17.10339
478,13.726312
479,17.83842
480,16.929512
481,10.656665
482,14.68857
483,11.838649
484,27.924898
485,11.480366
486,17.307266
487,16.848972
488,18.346296
489,11.214616
490,18.496052
491,15.530332
492,25.469305
493,21.161228
494,17.759253
495,22.483128
496,10.823164
497,20.498604
498,21.903418
499,17.265755
500,17.706797
501,16.530725
502,13.307688
503,11.697393
504,21.508665
505,17.015364
506,18.972607
507,20.629799
508,15.06817
509,21.979122
510,17.019985
511,25.416842
512,22.448362
513,17.518972
514,11.282062
515,19.014278
516,15.868239
517,22.205734
518,14.60586
519,18.581276
520,13.242535
521,13.189088
522,18.971193
523,18.271383
524,17.618567
525,10.45407
526,22.478413
527,15.19305
528,17.725143
529,12.208685
530,17.561934
531,13.811652
532,27.287893
533,12.594651
534,20.180223
535,16.653076
536,11.902443
537,10.257056
538,14.626159
539,19.051468
540,10.377687
541,15.632487
542,16.75184
543,16.081484
544,11.518187
545,15.658352
546,16.024931
547,23.150068
548,17.255207
549,20.175974
550,20.59303
551,18.556614
552,19.13492
553,10.414527
554,12.521974
555,11.68039
556,11.426694
557,15.563766
558,26.255169
559,13.439618
560,15.0292845
561,17.612625
562,11.867087
563,23.613358
564,11.263121
565,22.287222
566,12.874986
567,14.723336
568,17.458399
569,12.888128
570,18.363247
571,13.021645
572,11.281671
573,15.880767
574,11.996094
575,15.85817
576,10.399871
577,14.754899
578,19.230715
579,15.988544
580,10.913023
581,13.95913
582,16.667793
583,21.253616
584,17.51402
585,10.280718
586,11.02349
587,12.565869
588,18.61781
589,17.214684
590,14.685648
591,16.91265
592,19.85385
593,13.17477
594,11.980823
595,11.996615
596,25.902782
597,20.153952
598,18.808645
599,11.229249
600,16.226263
601,20.672499
602,17.441992
603,11.394925
604,22.266699
605,16.792576
606,20.607107
607,19.190678
608,26.29756
609,11.102293
610,17.884243
611,12.266868
612,13.09251
613,15.254153
614,16.702589
615,11.622908
616,13.272889
617,14.410623
618,18.720266
619,18.74522
620,21.09675
621,18.652765
622,17.756521
623,17.49988
624,17.353704
625,18.663515
626,13.393198
627,18.614004
628,20.798199
629,11.494196
630,15.663786
631,12.131631
632,19.203434
633,13.825396
634,21.85401
635,25.8468
636,21.874105
637,19.239235
638,16.013947
639,16.880531
640,20.437496
641,13.066012
642,15.316494
643,17.25353
644,19.940115
645,17.410625
646,17.772936
647,11.3439665
648,17.15468
649,20.549686
650,16.50802
651,17.48754
652,26.022057
653,10.155374
654,19.967247
655,20.981894
656,19.004187
657,20.324617
658,10.679685
659,20.433397
660,21.613935
661,17.33647
662,15.054082
663,21.988964
664,11.492509
665,17.755142
666,10.5512085
667,23.186808
668,12.1720495
669,12.029907
670,16.910847
671,11.641053
672,15.238542
673,10.206714
674,16.104282
675,18.802546
676,10.829553
677,26.29462
678,17.023586
679,25.773611
680,15.361373
681,16.913364
682,22.098642
683,20.370295
684,17.75322
685,13.239764
686,25.407217
687,11.859384
688,22.25508
689,25.67311
690,12.537077
691,11.919638
692,13.614537
693,15.710626
694,20.166645
695,17.662807
696,22.427061
697,18.577835
698,18.273993
699,13.1998005
700,15.978275
701,16.102499
702,14.899566
703,11.895377
704,16.901262
705,17.113298
706,11.985309
707,13.240134
708,9.9962435
709,12.27614
710,15.629378
711,16.2185
712,11.994027
713,11.422996
714,17.836199
715,11.391361
716,26.302137
717,18.820282
718,15.7252035
719,12.965664
720,13.222086
721,20.165613
722,21.104527
723,17.328054
724,14.133192
725,11.998969
726,13.151469
727,14.931374
728,12.08259
729,15.327862
730,20.974194
731,27.163631
732,15.497658
733,11.781377
734,20.944773
735,20.341574
736,16.094816
737,12.162188
738,17.503101
739,18.540976
740,19.222855
741,12.566972
742,18.965569
743,25.708965
744,10.497282
745,20.16899
746,11.178012
747,15.538257
