,stockPrice
0,13.0327
1,14.376
2,16.5653
3,19.605299999999996
4,11.9313
5,13.2913
6,18.4967
7,14.8693
8,12.548
9,20.0167
10,21.8473
11,13.1853
12,22.8567
13,22.369299999999996
14,15.07
15,21.134
16,28.35
17,13.83
18,17.2767
19,28.35
20,20.9947
21,14.4147
22,12.8193
23,14.5913
24,23.3327
25,13.644
26,16.7713
27,23.07
28,22.2933
29,18.436
30,20.6733
31,18.224
32,12.262
33,16.2327
34,19.369299999999996
35,16.4087
36,22.338
37,14.468
38,13.5253
39,21.9933
40,23.3287
41,13.7207
42,15.2673
43,17.1333
44,14.3307
45,22.060000000000002
46,12.5787
47,14.8807
48,23.07
49,16.1673
50,21.6813
51,16.8793
52,21.1053
53,20.724
54,23.47
55,20.5887
56,16.0007
57,20.721999999999998
58,15.1447
59,18.8913
60,13.786
61,20.5753
62,16.4707
63,16.3227
64,23.2033
65,24.343299999999996
66,21.940000000000005
67,23.864300000000004
68,15.1167
69,20.9947
70,24.343299999999996
71,22.198
72,23.2033
73,23.2107
74,17.3813
75,15.2027
76,16.9687
77,19.8287
78,18.334
79,19.606
80,23.478
81,14.468
82,21.68
83,13.818699999999998
84,15.8907
85,15.3353
86,16.9
87,21.5213
88,20.4073
89,17.8353
90,15.872699999999998
91,19.6527
92,14.9073
93,16.9907
94,23.176
95,21.5773
96,16.5727
97,21.338699999999996
98,20.5013
99,22.6353
100,14.7327
101,17.9487
102,22.1867
103,23.164
104,15.2547
105,21.015300000000003
106,18.362
107,21.9933
108,12.8487
109,20.2927
110,21.46
111,19.369299999999996
112,24.6667
113,13.4193
114,15.515999999999998
115,20.904
116,18.6573
117,23.0593
118,15.3153
119,19.8287
120,21.34
121,20.170699999999997
122,20.456700000000005
123,24.1553
124,14.5993
125,17.93
126,16.974
127,17.71
128,22.3633
129,20.9907
130,15.1633
131,16.5153
132,22.8933
133,23.0067
134,24.76
135,15.9127
136,19.6473
137,23.5133
138,19.830699999999997
139,21.102
140,19.2973
141,14.9827
142,13.0467
143,25.166
144,16.0973
145,17.786
146,16.2507
147,17.806
148,14.6353
149,23.4813
150,13.607299999999999
151,19.8287
152,21.17
153,23.5287
154,17.3167
155,15.4287
156,15.6007
157,25.3047
158,13.4
159,15.54
160,17.3327
161,24.246
162,21.739300000000004
163,23.677999999999997
164,23.3327
165,23.0593
166,21.5773
167,16.058
168,14.1973
169,20.3667
170,23.034
171,20.5447
172,17.4333
173,17.1847
174,19.830699999999997
175,22.8347
176,20.5447
177,17.8353
178,21.024000000000004
179,14.468
180,15.589999999999998
181,25.0633
182,18.322
183,18.0087
184,19.9507
185,12.795299999999997
186,21.928
187,14.376
188,17.2
189,22.8933
190,12.098
191,22.5793
192,21.684
193,20.3667
194,22.366
195,20.368
196,22.32
197,13.914699999999998
198,20.2513
199,20.825999999999997
200,17.1847
201,20.1847
202,12.7447
203,21.318
204,17.8947
205,15.3713
206,20.0167
207,19.876
208,22.962
209,19.918
210,17.212
211,17.8513
212,13.2467
213,21.024000000000004
214,15.436699999999998
215,21.152700000000003
216,14.196
217,22.6567
218,21.0007
219,21.4233
220,15.436699999999998
221,22.7567
222,15.3833
223,17.52
224,16.666
225,20.1673
226,15.847999999999999
227,14.572
228,20.3867
229,18.268
230,13.6427
231,15.374
232,16.616
233,20.1027
234,23.034
235,12.344
236,18.6573
237,24.7493
238,15.3093
239,16.8153
240,19.2787
241,20.6747
242,26.936
243,18.404
244,20.406
245,14.498699999999998
246,13.73
247,12.58
248,12.5707
249,15.718
250,14.7907
251,9.578
252,25.6667
253,12.4533
254,15.466
255,17.544
256,17.6133
257,14.265299999999998
258,21.024000000000004
259,14.649299999999998
260,18.5233
261,28.35
262,22.4893
263,17.1333
264,15.1833
265,14.97
266,16.9907
267,15.3133
268,14.7687
269,15.134
270,16.9047
271,14.738
272,13.100700000000002
273,19.605299999999996
274,15.6673
275,21.075300000000002
276,13.8447
277,13.3753
278,15.0173
279,22.2933
280,19.918
281,17.806
282,23.47
283,23.9787
284,16.4433
285,16.4087
286,20.825999999999997
287,14.6853
288,23.478
289,19.605
290,15.718
291,26.936
292,21.114
293,23.620700000000003
294,17.1253
295,20.5447
296,21.024000000000004
297,22.2087
298,19.6927
299,15.9067
300,14.7953
301,15.8867
302,23.620700000000003
303,23.7607
304,18.73
305,15.6007
306,23.191299999999995
307,17.4613
308,17.1947
309,17.1307
310,17.0487
311,24.194
312,13.182
313,22.3413
314,18.362
315,13.54
316,23.2113
317,17.252
318,19.5933
319,22.102
320,22.200700000000005
321,19.6533
322,20.9907
323,21.996
324,18.492
325,19.7893
326,16.1287
327,16.0507
328,23.640000000000004
329,14.196
330,19.978699999999996
331,21.075300000000002
332,13.5707
333,20.905299999999997
334,23.2093
335,14.490699999999999
336,14.296
337,21.0007
338,14.7687
339,18.416
340,19.454
341,22.3633
342,23.640000000000004
343,18.0147
344,17.3327
345,20.8593
346,17.4633
347,15.092
348,20.2573
349,22.5687
350,13.5067
351,15.8247
352,15.3373
353,25.3047
354,12.9533
355,21.726
356,14.296
357,13.5847
358,14.665999999999999
359,23.7167
360,12.9533
361,19.830699999999997
362,20.066
363,22.3233
364,17.0227
365,14.882
366,23.8927
367,18.416
368,18.9973
369,21.806
370,21.3687
371,15.54
372,22.5913
373,21.8147
374,22.060000000000002
375,20.84
376,15.5613
377,17.4593
378,17.4633
379,13.6007
380,18.334
381,21.1793
382,16.4953
383,15.0407
384,14.6673
385,20.7567
386,15.334
387,23.2093
388,15.0953
389,12.494700000000002
390,25.3047
391,15.1147
392,12.981999999999998
393,16.1073
394,20.1693
395,22.22
396,15.928
397,13.9853
398,20.0767
399,24.722
400,15.589999999999998
401,15.2907
402,20.8593
403,21.0813
404,17.066
405,13.22
406,15.000699999999998
407,22.7893
408,21.1207
409,15.374
410,16.7553
411,17.8313
412,13.4527
413,19.7587
414,16.7907
415,19.4647
416,22.524
417,17.468
418,14.5167
419,17.4633
420,14.3333
421,23.074
422,14.55
423,13.681299999999998
